id,Mittente,Destinatario,Importo,Data,Metodo_di_pagamento,Valuta,Paese_del_Cliente,Paese_a_Rischio,Mittente_sospetto,Destinatario_sospetto
3ccf6c53-7a2f-46bc-b2ef-826697c61b55,Kerry Hicks,Eugene Jones,3056,2023-08-16 02:57:21,Bonifico,JPY,Regno Unito,Si,No,Si
98972a85-4342-42b4-b6b8-d620d0ae6560,Jeffery Gomez,Holly Bender,54,2023-04-17 03:19:09,Carta di credito,USD,Stati Uniti,Si,No,Si
ca27f740-62b6-4951-87f0-b8faeda7b7a9,Tina Wolfe,Christopher Smith,8067,2023-04-24 11:35:59,PayPal,USD,Russia,Si,Si,Si
2d6312a7-b160-49dd-a95e-e7264092e982,Brian Bray,Tony Gray,6202,2023-06-01 12:37:15,Carta di credito,USD,Canada,Si,No,Si
584d3b67-e105-446c-a1df-6fa076cdb66c,Yolanda Lopez,David Martin,9970,2023-01-10 08:01:37,Carta di credito,EUR,Francia,No,Si,Si
2be1cd46-af75-45db-8b81-d4c7e8a6b261,Dr. Danielle Pugh,Daniel Clayton,1696,2023-05-16 06:57:17,PayPal,EUR,Russia,Si,No,No
7603625e-1de1-4a43-ad73-1658cbf881c5,Timothy Miller,Mark Fox,5859,2023-01-30 11:49:31,PayPal,GBP,Italia,No,Si,Si
566bc37f-8148-48be-a993-2fd352a4126a,Shawn Oliver,Mrs. Laura Villarreal,2008,2023-03-20 13:38:17,Assegno,JPY,Germania,No,No,Si
9d707c3a-8561-444d-9135-8e38fb0c4380,Brian Preston,Aaron Austin,1448,2023-07-11 05:26:42,Carta di credito,USD,Colombia,Si,Si,No
df94cea1-8236-4432-ac36-77e2ee9ce550,Steven Walker,Mary Arnold,3048,2023-04-26 15:38:58,Assegno,GBP,Stati Uniti,Si,No,No
73e9acb9-8113-42f9-8650-3c0c06195541,Miss Jamie Johnson,Keith Wilcox,2079,2023-03-12 10:36:40,PayPal,USD,Stati Uniti,Si,No,No
9320be36-0784-403f-9dd8-2fcfe6d2c17a,April Oneal,Kelsey Ingram,3688,2023-04-30 10:03:41,Carta di credito,USD,Germania,No,No,Si
6eef5b77-b077-4857-8cee-ef3763a9292d,Jessica Spencer,Richard Francis,7192,2023-08-05 05:19:36,Carta di credito,GBP,Colombia,Si,Si,No
48a0c7f8-dd61-43ba-8a03-ad741fcbb98c,Malik Ortiz,Laura Johnston,4569,2023-08-04 19:57:38,Assegno,USD,Canada,Si,Si,Si
5bcc5156-c67d-4cc3-b652-1e03cde41137,Justin Cooley,Melvin Murray,7657,2023-08-17 17:45:16,Carta di credito,GBP,Germania,No,No,No
8a8e6b20-264a-4812-8faa-b4442e436228,Briana Foster,Jeffrey Cole,9571,2023-02-12 08:16:31,Bonifico,EUR,Germania,No,No,No
ae8a9c36-87c8-49bd-8f2f-c0f2415d832b,Zachary Barton,Robert Cline,9707,2023-01-01 10:31:26,Carta di credito,GBP,Canada,Si,Si,No
65dbc58b-bf55-408d-8699-0dcbeaf0e9bd,Julie Hart,Matthew Nguyen,765,2023-08-29 05:30:29,Carta di credito,EUR,Francia,No,No,Si
fc21c9b3-df00-434a-8014-ceef1e99d8b5,Philip Prince,Joseph Taylor,1931,2023-08-14 03:48:43,Assegno,GBP,Russia,Si,Si,Si
1f88a24c-eec9-4a70-8221-841f6fb2b846,Alan Mcdonald,Michael Ferguson,6281,2023-01-08 04:25:11,Carta di credito,USD,Italia,No,No,Si
640b1be3-c491-47eb-b58b-af8a5e85d9a9,Tony Combs,Kristina Harrison,1307,2023-07-26 14:24:05,Assegno,USD,Italia,No,Si,Si
2cb6991e-2cb1-48c8-a350-deb6b13fcfe9,Caleb Allison,Mr. James Daniel,223,2023-05-24 15:36:25,Assegno,USD,Russia,Si,No,No
266a99ca-09e1-4924-a822-83f525aecae9,Christina Turner,David Campbell,1093,2023-07-29 14:34:47,PayPal,GBP,Italia,No,Si,No
b957fe48-9108-46f2-86c4-6964671c08f1,Eric Cox,Justin Jones,4765,2023-04-02 22:36:15,Assegno,EUR,Francia,No,Si,No
be28d16d-2c03-4569-af5d-53fbcfedf2cc,Patty Smith,Patricia Bradley,9595,2023-01-06 01:05:17,Assegno,GBP,Stati Uniti,Si,No,No
d53ec872-6b05-4421-b2f1-363a5c860cc2,Madeline Smith,Roger Townsend Jr.,25,2023-08-14 02:56:42,PayPal,USD,Stati Uniti,Si,Si,Si
a9117d40-ecc0-4f5b-9f29-557384e45c3e,Gina Morris,Jay Murphy,2750,2023-02-06 03:48:01,Bonifico,EUR,Stati Uniti,Si,No,No
7b72099b-d1b9-437c-af49-936dd5e9f0e7,Tami Rodriguez,Raymond Curry,6551,2023-08-26 22:33:16,Assegno,EUR,Germania,No,No,No
51d87482-e1f7-4523-b04d-f1b8ccaac77c,Crystal Fowler,Scott Caldwell DVM,7231,2023-04-27 14:01:24,Carta di credito,USD,Russia,Si,Si,Si
8dda5e5a-fe64-4cef-be69-6193a3dff4ad,Michael Fitzgerald,Alexander Martinez,5580,2023-06-29 04:21:46,Assegno,JPY,Canada,Si,Si,Si
53d18808-8e6d-4468-952c-bf1872a95b2a,Kimberly Maxwell,Julie Hudson,1791,2023-05-02 09:57:21,Bonifico,GBP,Italia,No,Si,No
